selection_rank,task_id,repo,selection_score,snapshot_built,candidate_slots,paper_funnel_status,frozen30,certificate_id_suffix,probe_layer,evidence_strength,pass_count,fail_count,drop_reason,boundary_note
1,pytest-dev__pytest-11148,pytest-dev/pytest,184,true,4,frozen_conservative_certificate,true,3cff0f721708,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
2,pytest-dev__pytest-7220,pytest-dev/pytest,184,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
3,pytest-dev__pytest-8906,pytest-dev/pytest,184,true,4,frozen_conservative_certificate,true,cb7eaf9885ac,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
4,pytest-dev__pytest-9359,pytest-dev/pytest,184,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
5,pytest-dev__pytest-5103,pytest-dev/pytest,180,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
6,pytest-dev__pytest-7373,pytest-dev/pytest,180,true,4,broad_certificate_not_frozen,false,e41f8de1ba76,source_isolated_template,behavior_disagreement_only,0,4,broad all-fail behavior disagreement excluded from conservative pass/fail frozen 30,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
7,pylint-dev__pylint-6506,pylint-dev/pylint,176,true,4,frozen_conservative_certificate,true,06fcb3b2d69e,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
8,pylint-dev__pylint-7114,pylint-dev/pylint,176,true,4,frozen_conservative_certificate,true,b714f48a9383,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
9,pylint-dev__pylint-7228,pylint-dev/pylint,176,true,4,frozen_conservative_certificate,true,08ad59d2c58e,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
10,pylint-dev__pylint-7993,pylint-dev/pylint,172,true,4,frozen_conservative_certificate,true,d91ebc3f5f81,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
11,django__django-16255,django/django,170,true,4,frozen_conservative_certificate,true,789b60a7aedc,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
12,sphinx-doc__sphinx-7738,sphinx-doc/sphinx,170,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
13,sphinx-doc__sphinx-8627,sphinx-doc/sphinx,170,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
14,sphinx-doc__sphinx-8713,sphinx-doc/sphinx,170,true,4,frozen_conservative_certificate,true,ae83f6945695,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
15,matplotlib__matplotlib-25079,matplotlib/matplotlib,168,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
16,mwaskom__seaborn-2848,mwaskom/seaborn,168,true,4,frozen_conservative_certificate,true,1ba97ccab56d,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
17,pylint-dev__pylint-5859,pylint-dev/pylint,168,true,4,frozen_conservative_certificate,true,3851db42baba,source_isolated_template,pass_fail_split,2,2,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
18,sympy__sympy-17655,sympy/sympy,168,true,4,frozen_conservative_certificate,true,994fa90adfd0,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
19,django__django-11964,django/django,166,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
20,django__django-12708,django/django,166,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
21,django__django-15814,django/django,166,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
22,django__django-16873,django/django,166,true,4,frozen_conservative_certificate,true,a2ee4da7fe98,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
23,sphinx-doc__sphinx-7686,sphinx-doc/sphinx,166,true,4,frozen_conservative_certificate,true,60b3c29cfa95,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
24,sphinx-doc__sphinx-8282,sphinx-doc/sphinx,166,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
25,sphinx-doc__sphinx-8435,sphinx-doc/sphinx,166,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
26,matplotlib__matplotlib-24149,matplotlib/matplotlib,164,true,4,frozen_conservative_certificate,true,a23aa7537968,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
27,mwaskom__seaborn-3010,mwaskom/seaborn,164,true,4,frozen_conservative_certificate,true,bfacc26b8ef2,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
28,mwaskom__seaborn-3190,mwaskom/seaborn,164,true,4,frozen_conservative_certificate,true,ffa0273a23f7,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
29,pallets__flask-4992,pallets/flask,164,true,4,frozen_conservative_certificate,true,5fa701a1eb77,source_isolated_template,pass_fail_split,2,2,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
30,sympy__sympy-16106,sympy/sympy,164,true,4,frozen_conservative_certificate,true,6b9a08131295,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
31,sympy__sympy-16792,sympy/sympy,164,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
32,sympy__sympy-22714,sympy/sympy,164,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
33,sympy__sympy-23117,sympy/sympy,164,true,4,frozen_conservative_certificate,true,0f35c861f5e7,issue_codeblock_full_package,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
34,django__django-12113,django/django,162,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
35,pydata__xarray-4094,pydata/xarray,162,true,4,frozen_conservative_certificate,true,4d2ddf8a46b3,source_isolated_template,pass_fail_split,2,2,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
36,pydata__xarray-4493,pydata/xarray,162,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
37,pydata__xarray-5131,pydata/xarray,162,true,4,frozen_conservative_certificate,true,eeaad027f4b9,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
38,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,162,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
39,scikit-learn__scikit-learn-25500,scikit-learn/scikit-learn,162,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
40,astropy__astropy-14365,astropy/astropy,160,true,4,frozen_conservative_certificate,true,402267e87138,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
41,matplotlib__matplotlib-23299,matplotlib/matplotlib,160,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
42,matplotlib__matplotlib-23562,matplotlib/matplotlib,160,true,4,frozen_conservative_certificate,true,7b79b5dab57e,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
43,matplotlib__matplotlib-23964,matplotlib/matplotlib,160,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
44,matplotlib__matplotlib-24265,matplotlib/matplotlib,160,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
45,pallets__flask-5063,pallets/flask,160,true,4,frozen_conservative_certificate,true,30bbf87bc23b,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
46,psf__requests-2148,psf/requests,160,true,4,frozen_conservative_certificate,true,f46d47ff2e0a,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
47,sympy__sympy-13471,sympy/sympy,160,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
48,scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,158,true,4,no_conservative_certificate_in_final_audit_index,false,,,,,,"snapshot and candidate slots existed, but no conservative pass/fail certificate reached the final audit index after candidate/materialization/visible/probe/routing gates",This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
49,mwaskom__seaborn-3407,mwaskom/seaborn,156,true,4,frozen_conservative_certificate,true,7758c1702fb2,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
50,scikit-learn__scikit-learn-10508,scikit-learn/scikit-learn,154,true,4,frozen_conservative_certificate,true,4e325db6d6a9,source_isolated_template,pass_fail_split,3,1,retained in paper-facing frozen 30 selected certificate-producing path,This table describes the pilot-50 path only; the paper-facing frozen 30 also includes three earlier smoke certificates.
